case编号,用户id,case标题,地域,机型,操作系统,网络环境,运营商,ROM信息,bug详情,复现步骤,截图,是否未知,优先级,审核状态,提交时间,,重复情况
0,481216,运行情况,江苏省|徐州市|贾汪区|X302(汴贾线)|,Xiaomi  HM NOTE 1LTE,Android 4.4.4,WIFI,无SIM卡,KTU84P,登录界面没有注册之类的按钮,点击进入后，因没有账号想去注册一个，没有在界面上找到,"[""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/7219118_7397e3be-a4a5-458c-bc3c-5e0a8d5e418f.jpg""]",未知,P0,审核不通过,2015-11-20 00:01:58,,9
0,753702,运行情况,辽宁省|铁岭市|银州区|繁荣路|null,Xiaomi  MI 2S,Android 5.0.2,WIFI,中国联通,LRX22G,系统对某处查询结果无法返回数据的提示信息不恰当,"在""图形""模块中,时间间隔下拉列表框中,点击展开下拉列表框,选择""年""一项,之后跳出错误提示""网络连接失败请尝试重连!"",而除此以外的其它选项都可以正确刷新图表.推断此错误提示是由于没有返回数据或是返回数据无效导致的,但应与网络连接无关,此提示可能误导用户去检查网络连接,应给予纠正.","[""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/7270361_1f688e86-ae9f-465f-bd81-662f4b2db2d7.jpg"",""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/7270360_17e1f739-ebc6-4db3-aa48-1cbebe7cc755.jpg"",""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/7270359_6c3ca90e-0dc6-42da-badd-8d81893f6f7d.jpg"",""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/7270358_5bdaa780-d7e8-4649-b2d2-5fbecbe20276.jpg"",""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/7270356_3d42fcc7-9bc3-4b0d-af51-2d8538412e98.jpg"",""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/7270355_eb39deaa-e266-41e3-bd03-f9bd75d14fac.jpg"",""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/7270354_da20bd62-a187-4553-9f29-d5039133c24c.jpg"",""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/7270353_19db5cf0-8b15-4e78-80df-18ee9b7d5385.jpg""]",未知,P0,审核通过,2015-11-20 22:05:52,,6
0,753702,运行情况,辽宁省|铁岭市|银州区|繁荣路|null,Xiaomi  MI 2S,Android 5.0.2,WIFI,中国联通,LRX22G,"在日期选择对话框中,输入的数字无法被接受","在""订单""模块,""交割记录""标签页,点击任意一个""设置""按钮,弹出日期设置对话框,此对话框中的年,月,日的数字部分均可直接接受输入焦点,并可直接进行修改编辑(注意不是点加减号,而是直接像在文本框修改数字那样用虚拟数字键盘输入),之后点击确定按钮关闭对话框,修改的日期并未生效.","[""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/7270361_1f688e86-ae9f-465f-bd81-662f4b2db2d7.jpg"",""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/7270360_17e1f739-ebc6-4db3-aa48-1cbebe7cc755.jpg"",""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/7270359_6c3ca90e-0dc6-42da-badd-8d81893f6f7d.jpg"",""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/7270358_5bdaa780-d7e8-4649-b2d2-5fbecbe20276.jpg"",""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/7270356_3d42fcc7-9bc3-4b0d-af51-2d8538412e98.jpg"",""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/7270355_eb39deaa-e266-41e3-bd03-f9bd75d14fac.jpg"",""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/7270354_da20bd62-a187-4553-9f29-d5039133c24c.jpg"",""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/7270353_19db5cf0-8b15-4e78-80df-18ee9b7d5385.jpg""]",未知,P0,审核通过,2015-11-20 22:05:52,,4
0,753702,运行情况,辽宁省|铁岭市|银州区|繁荣路|null,Xiaomi  MI 2S,Android 5.0.2,WIFI,中国联通,LRX22G,确定一个系统闪退复现过程,"在登录界面,语言处选择英语,登录后,转到""trade""模块,点""order""标签页,多次重复操作无一例外的程序闪退.","[""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/7270361_1f688e86-ae9f-465f-bd81-662f4b2db2d7.jpg"",""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/7270360_17e1f739-ebc6-4db3-aa48-1cbebe7cc755.jpg"",""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/7270359_6c3ca90e-0dc6-42da-badd-8d81893f6f7d.jpg"",""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/7270358_5bdaa780-d7e8-4649-b2d2-5fbecbe20276.jpg"",""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/7270356_3d42fcc7-9bc3-4b0d-af51-2d8538412e98.jpg"",""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/7270355_eb39deaa-e266-41e3-bd03-f9bd75d14fac.jpg"",""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/7270354_da20bd62-a187-4553-9f29-d5039133c24c.jpg"",""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/7270353_19db5cf0-8b15-4e78-80df-18ee9b7d5385.jpg""]",未知,P0,审核通过,2015-11-20 22:05:52,,5
0,753702,运行情况,辽宁省|铁岭市|银州区|繁荣路|null,Xiaomi  MI 2S,Android 5.0.2,WIFI,中国联通,LRX22G,确定一个系统闪退复现过程,"在登录界面,语言处选择英语,登录后,转到""quote""模块,点击数据列表中的任意一条,多次重复操作均闪退.","[""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/7270361_1f688e86-ae9f-465f-bd81-662f4b2db2d7.jpg"",""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/7270360_17e1f739-ebc6-4db3-aa48-1cbebe7cc755.jpg"",""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/7270359_6c3ca90e-0dc6-42da-badd-8d81893f6f7d.jpg"",""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/7270358_5bdaa780-d7e8-4649-b2d2-5fbecbe20276.jpg"",""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/7270356_3d42fcc7-9bc3-4b0d-af51-2d8538412e98.jpg"",""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/7270355_eb39deaa-e266-41e3-bd03-f9bd75d14fac.jpg"",""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/7270354_da20bd62-a187-4553-9f29-d5039133c24c.jpg"",""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/7270353_19db5cf0-8b15-4e78-80df-18ee9b7d5385.jpg""]",未知,P0,审核不通过,2015-11-20 22:05:52,,5
0,753702,运行情况,辽宁省|铁岭市|银州区|繁荣路|null,Xiaomi  MI 2S,Android 5.0.2,WIFI,中国联通,LRX22G,确定一个系统闪退复现过程,"在登录界面,语言处选择英语,登录后,转到""char""模块,点击""5minutes""下拉列表框,选择""year""后,系统闪退,多次重复操作均无一例外.看来英文下问题多多呀","[""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/7270361_1f688e86-ae9f-465f-bd81-662f4b2db2d7.jpg"",""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/7270360_17e1f739-ebc6-4db3-aa48-1cbebe7cc755.jpg"",""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/7270359_6c3ca90e-0dc6-42da-badd-8d81893f6f7d.jpg"",""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/7270358_5bdaa780-d7e8-4649-b2d2-5fbecbe20276.jpg"",""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/7270356_3d42fcc7-9bc3-4b0d-af51-2d8538412e98.jpg"",""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/7270355_eb39deaa-e266-41e3-bd03-f9bd75d14fac.jpg"",""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/7270354_da20bd62-a187-4553-9f29-d5039133c24c.jpg"",""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/7270353_19db5cf0-8b15-4e78-80df-18ee9b7d5385.jpg""]",未知,P0,审核不通过,2015-11-20 22:05:52,,1
0,753702,运行情况,辽宁省|铁岭市|银州区|繁荣路|null,Xiaomi  MI 2S,Android 5.0.2,WIFI,中国联通,LRX22G,确定一个系统闪退复现过程,"在登录界面,语言处选择英语,登录后,转到""account""模块,点击""setting""按钮,设置一个与另外一个日期时间差超过2个月的日期,ok关闭对话框后,点""查询取款""(此处应为英文的),系统闪退","[""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/7270361_1f688e86-ae9f-465f-bd81-662f4b2db2d7.jpg"",""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/7270360_17e1f739-ebc6-4db3-aa48-1cbebe7cc755.jpg"",""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/7270359_6c3ca90e-0dc6-42da-badd-8d81893f6f7d.jpg"",""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/7270358_5bdaa780-d7e8-4649-b2d2-5fbecbe20276.jpg"",""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/7270356_3d42fcc7-9bc3-4b0d-af51-2d8538412e98.jpg"",""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/7270355_eb39deaa-e266-41e3-bd03-f9bd75d14fac.jpg"",""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/7270354_da20bd62-a187-4553-9f29-d5039133c24c.jpg"",""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/7270353_19db5cf0-8b15-4e78-80df-18ee9b7d5385.jpg""]",未知,P0,审核不通过,2015-11-20 22:05:52,,2
0,753702,运行情况,辽宁省|铁岭市|银州区|繁荣路|null,Xiaomi  MI 2S,Android 5.0.2,WIFI,中国联通,LRX22G,确定一个系统闪退复现过程,"在登录界面,语言处选择英语,登录后,转到""trade""模块,切换到""close position""标签页,点setting按钮,设置一个与另外一个日期时间差超过2个月的日期,ok关闭对话框后,点""queryorderpostion"",系统闪退","[""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/7270361_1f688e86-ae9f-465f-bd81-662f4b2db2d7.jpg"",""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/7270360_17e1f739-ebc6-4db3-aa48-1cbebe7cc755.jpg"",""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/7270359_6c3ca90e-0dc6-42da-badd-8d81893f6f7d.jpg"",""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/7270358_5bdaa780-d7e8-4649-b2d2-5fbecbe20276.jpg"",""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/7270356_3d42fcc7-9bc3-4b0d-af51-2d8538412e98.jpg"",""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/7270355_eb39deaa-e266-41e3-bd03-f9bd75d14fac.jpg"",""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/7270354_da20bd62-a187-4553-9f29-d5039133c24c.jpg"",""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/7270353_19db5cf0-8b15-4e78-80df-18ee9b7d5385.jpg""]",未知,P0,审核不通过,2015-11-20 22:05:52,,2
0,753702,运行情况,辽宁省|铁岭市|银州区|繁荣路|null,Xiaomi  MI 2S,Android 5.0.2,WIFI,中国联通,LRX22G,"在语言设置为英文时,多处界面显示汉字","1.登录页,选择英文后,logo后面的汉字""恒耀现货订货系统""没有转换为英文.
2.app的标题栏(app最上面,恢色背影条那里),始终显示汉字""恒耀现货订货系统"",没有转换为英文.
3.登录时的等侯提示""正在登录中,请稍后...""显示为中文,没有转换为英文
4.account模块,有一个按钮显示的是汉字""查存取款"",没有转换为英文
5.account模块,点击""查存取款""按钮后的查询结果页面,出现汉字""平仓单查询结果"",应翻译为英文,下面的""返回""按钮应翻译为英文.","[""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/7270361_1f688e86-ae9f-465f-bd81-662f4b2db2d7.jpg"",""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/7270360_17e1f739-ebc6-4db3-aa48-1cbebe7cc755.jpg"",""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/7270359_6c3ca90e-0dc6-42da-badd-8d81893f6f7d.jpg"",""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/7270358_5bdaa780-d7e8-4649-b2d2-5fbecbe20276.jpg"",""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/7270356_3d42fcc7-9bc3-4b0d-af51-2d8538412e98.jpg"",""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/7270355_eb39deaa-e266-41e3-bd03-f9bd75d14fac.jpg"",""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/7270354_da20bd62-a187-4553-9f29-d5039133c24c.jpg"",""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/7270353_19db5cf0-8b15-4e78-80df-18ee9b7d5385.jpg""]",未知,P0,审核通过,2015-11-20 22:05:52,,0
0,753702,运行情况,辽宁省|铁岭市|银州区|繁荣路|null,Xiaomi  MI 2S,Android 5.0.2,WIFI,中国联通,LRX22G,一个在英文状态下可以直接变为中文的奇怪问题,"登录窗口选英文进行登录,然后手机启用屏幕旋转功能,将手机翻转90度成横向,所有英文直接变为中文,再转回去也还是中文,英文版就这么消失了.","[""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/7270361_1f688e86-ae9f-465f-bd81-662f4b2db2d7.jpg"",""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/7270360_17e1f739-ebc6-4db3-aa48-1cbebe7cc755.jpg"",""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/7270359_6c3ca90e-0dc6-42da-badd-8d81893f6f7d.jpg"",""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/7270358_5bdaa780-d7e8-4649-b2d2-5fbecbe20276.jpg"",""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/7270356_3d42fcc7-9bc3-4b0d-af51-2d8538412e98.jpg"",""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/7270355_eb39deaa-e266-41e3-bd03-f9bd75d14fac.jpg"",""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/7270354_da20bd62-a187-4553-9f29-d5039133c24c.jpg"",""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/7270353_19db5cf0-8b15-4e78-80df-18ee9b7d5385.jpg""]",未知,P0,审核不通过,2015-11-20 22:05:52,,7
