case编号,用户id,case标题,地域,机型,操作系统,网络环境,运营商,ROM信息,bug详情,复现步骤,截图,是否未知,优先级,审核状态,提交时间,,重复情况
0,211775,是否兼容各种环境,河北|石家庄,Lenovo  Lenovo S898t+,Android 4.2.2,WIFI,中国移动,S898t+_S527_140414,个人信息中出生日期可以设置当前日期以后（如2018年）,"1、进入“我的”（最上边头像）进入个人信息；
2、出生日期设置可以大于当前日期（2018年3月1日）","[""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/9857146_bfdc912b-3340-4cae-92db-57d23e977a60.jpg"",""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/9857145_802f0abf-167f-4eb3-9c71-a83949d897ab.jpg"",""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/9857144_d90360ab-7447-4a45-b3fa-f147b45c60dd.jpg"",""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/9857143_9dbcbf33-8169-4955-ad61-c6b2fe1e4adb.jpg"",""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/9857142_d49dab2a-fcd6-441c-ae7f-6b8de08dd5f4.jpg"",""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/9857141_c11f2e2c-74ad-4a91-8bbe-9a71e4bc0674.jpg"",""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/9857140_4aed394f-db15-4466-bf3c-dcf3c61f7009.jpg"",""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/9857139_c34a7ab0-5255-4b88-b551-f8daa21bb8f4.jpg"",""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/9857138_7610b5b3-2370-4a69-90c0-9d397cf561a9.jpg"",""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/9857137_c0b07542-87df-4523-b20a-cc7a048cc394.jpg""]",未知,P0,审核通过,2016-01-19 22:03:33,,41
0,211775,是否兼容各种环境,河北|石家庄,Lenovo  Lenovo S898t+,Android 4.2.2,WIFI,中国移动,S898t+_S527_140414,个人信息中出生日期，修改月份是会出现两个”月“字。,"1、进入“我的”（最上边头像）进入个人信息；
2、出生日期设置，修改月份是会出现两个”月“字。","[""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/9857146_bfdc912b-3340-4cae-92db-57d23e977a60.jpg"",""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/9857145_802f0abf-167f-4eb3-9c71-a83949d897ab.jpg"",""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/9857144_d90360ab-7447-4a45-b3fa-f147b45c60dd.jpg"",""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/9857143_9dbcbf33-8169-4955-ad61-c6b2fe1e4adb.jpg"",""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/9857142_d49dab2a-fcd6-441c-ae7f-6b8de08dd5f4.jpg"",""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/9857141_c11f2e2c-74ad-4a91-8bbe-9a71e4bc0674.jpg"",""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/9857140_4aed394f-db15-4466-bf3c-dcf3c61f7009.jpg"",""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/9857139_c34a7ab0-5255-4b88-b551-f8daa21bb8f4.jpg"",""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/9857138_7610b5b3-2370-4a69-90c0-9d397cf561a9.jpg"",""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/9857137_c0b07542-87df-4523-b20a-cc7a048cc394.jpg""]",未知,P0,审核通过,2016-01-19 22:03:58,,41
0,211775,是否兼容各种环境,河北|石家庄,Lenovo  Lenovo S898t+,Android 4.2.2,WIFI,中国移动,S898t+_S527_140414,在我的云设备，点击“购买”没有反应。,"1、进入“我的”；
2、进入“我的健康档案”，点击 设备“添加”；
3、进入“我的云设备”，点击购买没有任何反应。","[""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/9857146_bfdc912b-3340-4cae-92db-57d23e977a60.jpg"",""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/9857145_802f0abf-167f-4eb3-9c71-a83949d897ab.jpg"",""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/9857144_d90360ab-7447-4a45-b3fa-f147b45c60dd.jpg"",""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/9857143_9dbcbf33-8169-4955-ad61-c6b2fe1e4adb.jpg"",""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/9857142_d49dab2a-fcd6-441c-ae7f-6b8de08dd5f4.jpg"",""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/9857141_c11f2e2c-74ad-4a91-8bbe-9a71e4bc0674.jpg"",""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/9857140_4aed394f-db15-4466-bf3c-dcf3c61f7009.jpg"",""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/9857139_c34a7ab0-5255-4b88-b551-f8daa21bb8f4.jpg"",""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/9857138_7610b5b3-2370-4a69-90c0-9d397cf561a9.jpg"",""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/9857137_c0b07542-87df-4523-b20a-cc7a048cc394.jpg""]",未知,P0,审核通过,2016-01-19 22:04:41,,25
0,211775,是否兼容各种环境,河北|石家庄,Lenovo  Lenovo S898t+,Android 4.2.2,WIFI,中国移动,S898t+_S527_140414,"在我的云设备，没有绑定设备，管理显示不正常，""管理""有时显示为蓝色，有时显示为灰色（没绑定灰色正常）。","1、进入“我的”；
2、进入“我的健康档案”，点击 设备“添加”；
3、进入“我的云设备”没有绑定设备，管理显示不正常，""管理""有时显示为蓝色，有时显示为灰色（没绑定灰色正常）。","[""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/9857146_bfdc912b-3340-4cae-92db-57d23e977a60.jpg"",""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/9857145_802f0abf-167f-4eb3-9c71-a83949d897ab.jpg"",""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/9857144_d90360ab-7447-4a45-b3fa-f147b45c60dd.jpg"",""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/9857143_9dbcbf33-8169-4955-ad61-c6b2fe1e4adb.jpg"",""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/9857142_d49dab2a-fcd6-441c-ae7f-6b8de08dd5f4.jpg"",""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/9857141_c11f2e2c-74ad-4a91-8bbe-9a71e4bc0674.jpg"",""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/9857140_4aed394f-db15-4466-bf3c-dcf3c61f7009.jpg"",""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/9857139_c34a7ab0-5255-4b88-b551-f8daa21bb8f4.jpg"",""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/9857138_7610b5b3-2370-4a69-90c0-9d397cf561a9.jpg"",""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/9857137_c0b07542-87df-4523-b20a-cc7a048cc394.jpg""]",未知,P0,审核不通过,2016-01-19 22:14:12,,11
0,211775,是否兼容各种环境,河北|石家庄,Lenovo  Lenovo S898t+,Android 4.2.2,WIFI,中国移动,S898t+_S527_140414,进入页面交互时间太长，进入到页面显示有时需要等几分钟。,进入页面交互时间太长，进入到页面显示有时需要等几分钟。一直显示“正在处理”、“加载中”，保存身高数据、点击文章进入查看都是这样。,"[""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/9857146_bfdc912b-3340-4cae-92db-57d23e977a60.jpg"",""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/9857145_802f0abf-167f-4eb3-9c71-a83949d897ab.jpg"",""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/9857144_d90360ab-7447-4a45-b3fa-f147b45c60dd.jpg"",""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/9857143_9dbcbf33-8169-4955-ad61-c6b2fe1e4adb.jpg"",""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/9857142_d49dab2a-fcd6-441c-ae7f-6b8de08dd5f4.jpg"",""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/9857141_c11f2e2c-74ad-4a91-8bbe-9a71e4bc0674.jpg"",""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/9857140_4aed394f-db15-4466-bf3c-dcf3c61f7009.jpg"",""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/9857139_c34a7ab0-5255-4b88-b551-f8daa21bb8f4.jpg"",""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/9857138_7610b5b3-2370-4a69-90c0-9d397cf561a9.jpg"",""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/9857137_c0b07542-87df-4523-b20a-cc7a048cc394.jpg""]",未知,P0,审核不通过,2016-01-19 22:14:27,,38
0,211775,是否兼容各种环境,河北|石家庄,Lenovo  Lenovo S898t+,Android 4.2.2,WIFI,中国移动,S898t+_S527_140414,家人健康档案年龄中出生日期可以设置当前日期以后（如2037年）（在显示年龄是会出现负数-20岁）,"1、首页单击“添加”；
2、新建家人档案，在年龄输入日期（2037年），显示年龄为负数-20岁。","[""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/9857146_bfdc912b-3340-4cae-92db-57d23e977a60.jpg"",""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/9857145_802f0abf-167f-4eb3-9c71-a83949d897ab.jpg"",""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/9857144_d90360ab-7447-4a45-b3fa-f147b45c60dd.jpg"",""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/9857143_9dbcbf33-8169-4955-ad61-c6b2fe1e4adb.jpg"",""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/9857142_d49dab2a-fcd6-441c-ae7f-6b8de08dd5f4.jpg"",""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/9857141_c11f2e2c-74ad-4a91-8bbe-9a71e4bc0674.jpg"",""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/9857140_4aed394f-db15-4466-bf3c-dcf3c61f7009.jpg"",""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/9857139_c34a7ab0-5255-4b88-b551-f8daa21bb8f4.jpg"",""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/9857138_7610b5b3-2370-4a69-90c0-9d397cf561a9.jpg"",""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/9857137_c0b07542-87df-4523-b20a-cc7a048cc394.jpg""]",未知,P0,审核通过,2016-01-19 22:14:55,,34
0,211775,是否兼容各种环境,河北|石家庄,Lenovo  Lenovo S898t+,Android 4.2.2,WIFI,中国移动,S898t+_S527_140414,我的健康档案下方“常识”点击“六个好习惯让血压平稳过冬”进去一以后图片不显示，文字排版不好（而且还是向左滑动）。,"1、进入“我的”；
2、进入“我的健康档案”；
3、最下面  常识；
点击“六个好习惯让血压平稳过冬”进去一以后图片不显示，文字排版不好（而且还是向左滑动）。","[""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/9857146_bfdc912b-3340-4cae-92db-57d23e977a60.jpg"",""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/9857145_802f0abf-167f-4eb3-9c71-a83949d897ab.jpg"",""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/9857144_d90360ab-7447-4a45-b3fa-f147b45c60dd.jpg"",""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/9857143_9dbcbf33-8169-4955-ad61-c6b2fe1e4adb.jpg"",""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/9857142_d49dab2a-fcd6-441c-ae7f-6b8de08dd5f4.jpg"",""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/9857141_c11f2e2c-74ad-4a91-8bbe-9a71e4bc0674.jpg"",""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/9857140_4aed394f-db15-4466-bf3c-dcf3c61f7009.jpg"",""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/9857139_c34a7ab0-5255-4b88-b551-f8daa21bb8f4.jpg"",""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/9857138_7610b5b3-2370-4a69-90c0-9d397cf561a9.jpg"",""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/9857137_c0b07542-87df-4523-b20a-cc7a048cc394.jpg""]",未知,P0,审核通过,2016-01-19 22:15:17,,56
0,305822,是否兼容各种环境,河南省|郑州市|金水区|北环路|61号,Lenovo  Lenovo S898t+,Android 4.2.2,WIFI,中国移动,S8_R_2.3.62.62,未注册手机，可进入找回密码环节,未注册手机号，收到重设密码验证码，提示修改密码。,"[""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/9855439_dbedf704-5dd9-4569-8a47-1332886aa697.jpg"",""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/9855438_a3ef0281-c051-4ae3-9112-11a979276b91.jpg"",""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/9855436_99fcbbb8-1ad6-4aa4-86ee-de904e22a9a8.jpg"",""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/9855434_bfb51688-200d-4d8a-97af-030a837d7eba.jpg"",""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/9855433_8accaecf-412b-4187-8855-5b0da7c3516e.jpg""]",未知,P0,审核不通过,2016-01-19 22:01:15,,36
0,305822,是否兼容各种环境,河南省|郑州市|金水区|北环路|61号,Lenovo  Lenovo S898t+,Android 4.2.2,WIFI,中国移动,S8_R_2.3.62.62,打开app底部的首页、服务和我的栏目里的我的设备，点击购买按钮无反应,打开app底部的首页、服务和我的栏目里的我的设备，点击购买按钮无反应,"[""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/9855439_dbedf704-5dd9-4569-8a47-1332886aa697.jpg"",""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/9855438_a3ef0281-c051-4ae3-9112-11a979276b91.jpg"",""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/9855436_99fcbbb8-1ad6-4aa4-86ee-de904e22a9a8.jpg"",""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/9855434_bfb51688-200d-4d8a-97af-030a837d7eba.jpg"",""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/9855433_8accaecf-412b-4187-8855-5b0da7c3516e.jpg""]",未知,P0,审核通过,2016-01-19 22:02:43,,20
0,305822,是否兼容各种环境,河南省|郑州市|金水区|北环路|61号,Lenovo  Lenovo S898t+,Android 4.2.2,WIFI,中国移动,S8_R_2.3.62.62,打开app随检栏目，其中血糖、心率、血压、身高体重中范围值超出实际合理范围,打开app随检栏目，其中血糖、心率、血压、身高体重中范围值超出实际合理范围,"[""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/9855439_dbedf704-5dd9-4569-8a47-1332886aa697.jpg"",""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/9855438_a3ef0281-c051-4ae3-9112-11a979276b91.jpg"",""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/9855436_99fcbbb8-1ad6-4aa4-86ee-de904e22a9a8.jpg"",""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/9855434_bfb51688-200d-4d8a-97af-030a837d7eba.jpg"",""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/9855433_8accaecf-412b-4187-8855-5b0da7c3516e.jpg""]",未知,P0,审核通过,2016-01-19 22:03:08,,38
