case编号,用户id,case标题,地域,机型,操作系统,网络环境,运营商,ROM信息,bug详情,复现步骤,截图,是否未知,优先级,审核状态,提交时间,,重复情况
0,531756,登录,山西省|太原市|小店区|并州南路|19,Coolpad  Coolpad 8675-A,Android 4.4.4,WIFI,中国移动,4.4.058.P0.150407.8675-A,打开app，点击主页上banner第二张轮播图，活动界面的qq交谈按钮点击以后跳转，无法qq交谈，而是“找不到网页”,打开app，点击主页上banner第二张轮播图，活动界面的qq交谈按钮点击以后跳转，无法qq交谈，而是“找不到网页”,"[""http:\/\/bj.bcebos.com\/json-api\/v1\/crowdtest-online\/upload\/25073537_Screenshot_2016-05-10-17-23-48_com.lunubao.activity.png"",""http:\/\/bj.bcebos.com\/json-api\/v1\/crowdtest-online\/upload\/25073574_Screenshot_2016-05-10-17-23-44_com.lunubao.activity.png"",""http:\/\/bj.bcebos.com\/json-api\/v1\/crowdtest-online\/upload\/25073584_Screenshot_2016-05-10-17-22-51_com.lunubao.activity.png""]",未知,P0,审核通过,2016-05-11 19:47:34,,14
0,2059358,登录,浙江省|宁波市|江东区|锦苑东巷|null,Coolpad  Coolpad 9150,Android 4.1.2,WIFI,无SIM卡,4.1.055.P1.130806.9150,老是有人改用户密码，建议后台查到封id。,老是有人改用户密码，建议后台查到封id。老是有人改用户密码，建议后台查到封id。,[],未知,P0,审核不通过,2016-05-11 19:49:01,,4
0,2279759,登录,河北省|秦皇岛市|海港区|文昌路|,Xiaomi  MI 4LTE,Android 6.0.1,WIFI,中国移动,MMB29M,登录提示密码错误，测试机型为小米4,按照提示输入测试账号提示张华或者密码错误,"[""http:\/\/bj.bcebos.com\/json-api\/v1\/crowdtest-online\/upload\/25098927_Screenshot_2016-05-10-20-31-48_com.lunubao.activi.png""]",未知,P0,审核不通过,2016-05-11 19:52:05,,13
0,3912413,登录,四川省|成都市|青羊区|成飞大道|,samsung  GT-I9308,Android 4.3,WIFI,中国移动,JSS15J.I9308ZMUBNI1,点击登陆直接停止运行,点击登陆直接停止运行，屡次都是一样，手机为三星s3,"[""http:\/\/bj.bcebos.com\/json-api\/v1\/crowdtest-online\/upload\/25088235_QQ%E5%9B%BE%E7%89%8720160510191304.jpg""]",未知,P0,审核通过,2016-05-11 19:49:34,,12
0,9393605,登录,广东省|中山市|中山市市辖区|昌观路|36,Huawei  H30-T00,Android 4.4.2,WIFI,中国联通,H30-T00 V100R001CHNC00B265,我的设备--未绑定提示---点击购买---弹出购买窗口，点击上方的taobao--弹出一个错误链接页面。,我的设备--未绑定提示---点击购买---弹出购买窗口，点击上方的taobao--弹出一个错误链接页面。请检查该物品是否可以在taobao购买？,"[""http:\/\/bj.bcebos.com\/json-api\/v1\/crowdtest-online\/upload\/25081881_Screenshot_2016-05-10-18-26-09.jpeg"",""http:\/\/bj.bcebos.com\/json-api\/v1\/crowdtest-online\/upload\/25081930_Screenshot_2016-05-10-18-22-03.jpeg""]",未知,P0,审核通过,2016-05-11 19:49:08,,11
0,9742256,登录,湖南省|长沙市|开福区|芙蓉北路|197号,Xiaomi  Redmi Note 3,Android 5.1.1,WIFI,中国联通,LMY47V,提供的账号密码无法登录,"输入账号13330293447
输入密码 123456
点登录
弹出提示 手机号或密码错误","[""http:\/\/bj.bcebos.com\/json-api\/v1\/crowdtest-online\/upload\/25094349_01.png""]",未知,P0,审核不通过,2016-05-11 19:51:27,,13
0,10108370,登录,山西省|太原市|杏花岭区|桃园北路|130号,Xiaomi  HM NOTE 1W,Android 4.2.2,WIFI,中国联通,JH3CN0.0-e8c490ca606638294c0cd,"1登陆后点击快速注册
2输入手机申请发送验证码
3进入手机注册界面，点击《路怒宝车主服务协议》，其中15.3和文字没有空格，17.3和（1）空行太大和之前的格式不统一，18.3和18.4也有此问题","1登陆后点击快速注册
2输入手机申请发送验证码
3进入手机注册界面，点击《路怒宝车主服务协议》，其中15.3和文字没有空格，17.3和（1）空行太大和之前的格式不统一，18.3和18.4也有此问题","[""http:\/\/bj.bcebos.com\/json-api\/v1\/crowdtest-online\/upload\/25075697_Screenshot_2016-05-10-17-36-58.png"",""http:\/\/bj.bcebos.com\/json-api\/v1\/crowdtest-online\/upload\/25075712_Screenshot_2016-05-10-17-35-31.png"",""http:\/\/bj.bcebos.com\/json-api\/v1\/crowdtest-online\/upload\/25075740_Screenshot_2016-05-10-17-35-54.png"",""http:\/\/bj.bcebos.com\/json-api\/v1\/crowdtest-online\/upload\/25075757_Screenshot_2016-05-10-17-36-02.png""]",未知,P0,审核通过,2016-05-11 19:47:57,,1
0,11100923,登录,四川|广安,lge  LG-E985T,Android 4.2.2,WIFI,中国移动,JDQ39B,登录app进入车险保险页面套餐提示重新登录,输入手机号密码登录app后进入车险保险页面套餐后提示需要重新输入手机号密码登录。,"[""http:\/\/bj.bcebos.com\/json-api\/v1\/crowdtest-online\/upload\/25094132_Screenshot_2016-05-10-19-53-48.png"",""http:\/\/bj.bcebos.com\/json-api\/v1\/crowdtest-online\/upload\/25094175_Screenshot_2016-05-10-19-51-44.png""]",未知,P0,审核通过,2016-05-11 19:51:32,,13
0,11100923,登录,四川|广安,lge  LG-E985T,Android 4.2.2,WIFI,中国移动,JDQ39B,登录保险首页点页面下方分享内容失败,登录保险首页点点击页面下方分享内容后提示找不到网页，确认网络正常.app其他网页都能正常打开。,"[""http:\/\/bj.bcebos.com\/json-api\/v1\/crowdtest-online\/upload\/25094966_Screenshot_2016-05-10-19-52-25.png"",""http:\/\/bj.bcebos.com\/json-api\/v1\/crowdtest-online\/upload\/25094997_Screenshot_2016-05-10-19-52-03.png""]",未知,P0,审核通过,2016-05-11 19:51:44,,14
0,11100923,登录,四川|广安,lge  LG-E985T,Android 4.2.2,WIFI,中国移动,JDQ39B,点页面首页联系我们点淘宝链接报错,"点页面首页联系我们点淘宝链接，淘宝网页能打开不到一秒钟，然后马上跳到找不到网页页面。app其他网页能正常打开,网络正常。","[""http:\/\/bj.bcebos.com\/json-api\/v1\/crowdtest-online\/upload\/25095168_Screenshot_2016-05-10-19-52-25.png"",""http:\/\/bj.bcebos.com\/json-api\/v1\/crowdtest-online\/upload\/25095207_Screenshot_2016-05-10-19-52-34.png""]",未知,P0,审核通过,2016-05-11 19:51:51,,14
0,11595708,登录,上海市|上海市|普陀区|中江路|246号,Huawei  PE-TL20,Android 4.4.2,WIFI,中国移动,PE-TL20V100R001CHNC00B200,无法登陆，提示用户名或密码错误,无法登陆，提示用户名或密码错误，缺失是按照上面的用户名和密码输入的，无法登陆。,[],未知,P0,审核不通过,2016-05-11 19:47:27,,7
0,13585076,登录,河南省|南阳市|卧龙区|G40(沪陕高速公路)|null,WEIBI  F1,Android 4.4.4,WIFI,无SIM卡,T1795AN_JIAC_JC070_C_ALIYUN_SE,使用百度众测给出的账号登录失败。,使用百度众测给出的账号登录失败，每次都提示：手机号码或密码有误。,"[""http:\/\/bj.bcebos.com\/json-api\/v1\/crowdtest-online\/upload\/25101260_658025A76B804B04157AF4240849F871.jpg""]",未知,P0,审核不通过,2016-05-11 19:52:11,,8
0,13585076,登录,河南省|南阳市|卧龙区|G40(沪陕高速公路)|null,WEIBI  F1,Android 4.4.4,WIFI,无SIM卡,T1795AN_JIAC_JC070_C_ALIYUN_SE,在圈发消息，选结束时间界面，没有排版好。,在圈发消息，选结束时间界面，没有排版好，很乱，上下不齐，而且很混乱，都有点看不明白。,"[""http:\/\/bj.bcebos.com\/json-api\/v1\/crowdtest-online\/upload\/25101367_B106346E257AB4F3AF0FE90D79190BC6.jpg""]",未知,P0,审核通过,2016-05-11 19:55:22,,0
0,13585076,登录,河南省|南阳市|卧龙区|G40(沪陕高速公路)|null,WEIBI  F1,Android 4.4.4,WIFI,无SIM卡,T1795AN_JIAC_JC070_C_ALIYUN_SE,在第一次没登陆时查看商品，看着看着忽然就进入了找不到网页界面。,在第一次没登陆时查看商品，看着看着忽然就进入了找不到网页界面。,"[""http:\/\/bj.bcebos.com\/json-api\/v1\/crowdtest-online\/upload\/25101503_8E00111BDC6FE180BD081FEFE518ACF2.jpg""]",未知,P0,审核通过,2016-05-11 19:55:30,,14
