case编号,用户id,case标题,地域,机型,操作系统,网络环境,运营商,ROM信息,bug详情,复现步骤,截图,是否未知,优先级,审核状态,提交时间,,重复情况
0,1748116,鉴定宝V1.0自由测试,天津市|天津市|滨海新区|烟台道|965号,Huawei  HUAWEI MT7-CL00,Android 4.4.2,WIFI,中国电信,MT7-CL00V100R001C92B123SP03,主要界面的下方按键与手机自带控制键重复。影响正常的操作,本人用的是华为mate7手机，打开app后主界面下方的“首页”、“机构”、“消息”、“我的”四个触屏按键与手机自带的三个主要按键显示重复在一起。影响正常的操作,"[""http:\/\/bj.bcebos.com\/json-api\/v1\/crowdtest-online\/upload\/32819694_Screenshot_2016-07-13-19-24-17.jpeg""]",未知,P0,审核不通过,2016-07-16 21:25:27,,5
0,2135150,鉴定宝V1.0自由测试,云南省|昆明市|五华区|核桃箐路|2,Xiaomi  2014501,Android 4.4.2,WIFI,无SIM卡,KOT49H,显示不正确，其显示为黑块,选择城市——定位城市，热门城市为黑块显示，但是定位正确；进去后首页，机构，我的里面内容图标，均为黑色图标,"[""http:\/\/bj.bcebos.com\/json-api\/v1\/crowdtest-online\/upload\/32821222_Screenshot_2016-07-13-19-47-08.png"",""http:\/\/bj.bcebos.com\/json-api\/v1\/crowdtest-online\/upload\/32821240_Screenshot_2016-07-13-19-47-12.png"",""http:\/\/bj.bcebos.com\/json-api\/v1\/crowdtest-online\/upload\/32821253_Screenshot_2016-07-13-19-47-16.png"",""http:\/\/bj.bcebos.com\/json-api\/v1\/crowdtest-online\/upload\/32821264_Screenshot_2016-07-13-19-47-21.png""]",未知,P0,审核不通过,2016-07-16 21:26:30,,10
0,2135150,鉴定宝V1.0自由测试,云南省|昆明市|五华区|核桃箐路|2,Xiaomi  2014501,Android 4.4.2,WIFI,无SIM卡,KOT49H,点击图标，并无任何响应。,首页——上户口鉴定（或者任一鉴定）——找鉴定机构,[],未知,P0,审核不通过,2016-07-16 21:26:38,,4
0,2135150,鉴定宝V1.0自由测试,云南省|昆明市|五华区|核桃箐路|2,Xiaomi  2014501,Android 4.4.2,WIFI,无SIM卡,KOT49H,所推荐机构的，图标依然无反应。,首页——推荐机构（任一进入）——我要做鉴定（或咨询机构）,[],未知,P0,审核不通过,2016-07-16 21:26:44,,13
0,15405391,鉴定宝V1.0自由测试,广东省|广州市|天河区|正南大街|46号,samsung  GT-N7100,Android 4.3,WIFI,中国移动,JSS15J.N7100ZCUENB1,鉴定宝已停止了，无法正常打开…,鉴定宝已停止了，无法正常打开……………………,"[""http:\/\/bj.bcebos.com\/json-api\/v1\/crowdtest-online\/upload\/32822769_Screenshot_2016-07-13-20-14-12.png""]",未知,P0,审核不通过,2016-07-16 21:27:40,,12
0,16848034,鉴定宝V1.0自由测试,江苏|连云港,samsung  SM-G7108V,Android 4.3,WIFI,中国移动,JLS36C.G7108VZMUANE2,软件安装好，但打不开,"1.安装软件，打开软件
2.显示软件已停止
3.重复操作三次，打不开软件","[""http:\/\/bj.bcebos.com\/json-api\/v1\/crowdtest-online\/upload\/32824878_1.png"",""http:\/\/bj.bcebos.com\/json-api\/v1\/crowdtest-online\/upload\/32824882_2.png""]",未知,P0,审核不通过,2016-07-16 21:28:24,,12
0,2351431,鉴定宝V1.0自由测试,福建|福州,Xiaomi  MI-ONE C1,Android 4.1.2,WIFI,无SIM卡,JZO54K,打开软件时出现闪退。,"微任务下载软件
安装软件
打开软件
显示功能介绍界面
闪退
再无法启动","[""http:\/\/bj.bcebos.com\/json-api\/v1\/crowdtest-online\/upload\/32825897_Screenshot_2016-07-13-21-08-14.png"",""http:\/\/bj.bcebos.com\/json-api\/v1\/crowdtest-online\/upload\/32826023_Screenshot_2016-07-13-21-13-04.png"",""http:\/\/bj.bcebos.com\/json-api\/v1\/crowdtest-online\/upload\/32826029_Screenshot_2016-07-13-21-12-47.png""]",未知,P0,审核不通过,2016-07-16 21:30:39,,12
0,17270460,鉴定宝V1.0自由测试,安徽|宿州,EDU  7418i-A33,Android 4.4.2,WIFI,无SIM卡,astar_y3-eng 4.4.2 KVT49L 2015,界面错位，无法正常使用,平板设备，未登录状态 1.打开软件，如图所示，下方按钮和虚拟键重合。部分功能无法使用,"[""http:\/\/bj.bcebos.com\/json-api\/v1\/crowdtest-online\/upload\/32825713_20160713_205113.jpg"",""http:\/\/bj.bcebos.com\/json-api\/v1\/crowdtest-online\/upload\/32825723_20160713_205339.jpg""]",未知,P0,审核不通过,2016-07-16 21:30:57,,7
0,15412365,鉴定宝V1.0自由测试,江苏省|南京市|栖霞区|鸿雁路|,HONOR  PLK-TL01H,Android 5.0.2,WIFI,中国移动,PLK-TL01HC01B211,点击“上海美吉医学检验有限公司法医物证司法鉴定所”鉴定机构进入，点击机构展示下方的信息进入，在机构展示界面中依次点击图标，发现所有的图标都是一样的，且无法展示机构内容信息。,打开软件，点击机构，点击“上海美吉医学检验有限公司法医物证司法鉴定所”鉴定机构进入，点击机构展示下方的信息进入，在机构展示界面中依次点击图标，发现所有的图标都是一样的，且无法展示机构内容信息。,"[""http:\/\/bj.bcebos.com\/json-api\/v1\/crowdtest-online\/upload\/32824874_QQ%E5%9B%BE%E7%89%8720160713205005.jpg""]",未知,P0,审核不通过,2016-07-16 21:31:32,,11
0,11100923,鉴定宝V1.0自由测试,四川省|广安市|广安区|S304(广前公路)|,lge  LG-E985T,Android 4.2.2,WIFI,中国移动,JDQ39B,lg e985t安装成功后打开软件显示欢迎页后程序崩溃，软件对安卓4.2.2存在兼容性问题,lg e985t安装成功后打开软件显示欢迎页后程序崩溃，软件对安卓4.2.2存在兼容性问题,"[""http:\/\/bj.bcebos.com\/json-api\/v1\/crowdtest-online\/upload\/32828563_Screenshot_2016-07-13-21-59-08.png""]",未知,P0,审核不通过,2016-07-16 21:34:15,,12
