case编号,用户id,case标题,地域,机型,操作系统,网络环境,运营商,ROM信息,bug详情,复现步骤,截图,是否未知,优先级,审核状态,提交时间,,重复情况
0,18755,首页,湖北省|襄阳市|襄城区|西巷子|,Xiaomi  2014811,Android 4.4.4,WIFI,中国移动,KTU84P,打开老河口梨花节时有卡顿，时间将近1分钟,"1、安装，进入软件；
2、定位成功后，进入本地区的旅游项目，随意点击；
3、点击项目在第一次打开时普遍有卡顿，老河口梨花节尤其如此，卡顿将近1分钟；
上网环境：wifi，联通小区宽带，10mbps","[""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/7477086_3555f6a2-e8a7-43a5-856f-e52eb11833d3.jpg"",""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/7477085_c98798c5-d9b0-4caa-91fa-0ba9ae2e626f.jpg""]",未知,P0,审核通过,2015-11-26 08:28:19,,12
0,458244,首页,吉林省|松原市|宁江区|团结街|259,Xiaomi  HM NOTE 1LTE,Android 4.4.4,WIFI,中国移动,KTU84P,用户登录选择微信登陆后又跳转回登录界面，无法完成,用户登录选择微信登陆后又跳转回登录界面，无法完成,"[""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/7483756_783c034f-ec56-41cb-a2fc-f2fde809b9c8.jpg""]",未知,P0,审核通过,2015-11-26 11:26:58,,6
0,531756,首页,山西省|太原市|小店区|南中环街|200号,Coolpad  Coolpad 8675-A,Android 4.4.4,WIFI,中国联通,4.4.058.P0.150407.8675-A,打开app，点击“我的”，点击“注册/登陆”，使用qq，微博，微信登陆，显示“授权成功”，但是没有跳转到登陆成功的页面。,打开app，点击“我的”，点击“注册/登陆”，使用qq，微博，微信登陆，显示“授权成功”，但是没有跳转到登陆成功的页面。,"[""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/7489345_5101364e-e781-4141-81e3-e26e665f6132.jpg"",""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/7489344_4ac080af-50e3-4740-9bb8-0e7ea6cc9406.jpg"",""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/7489343_421c3121-464e-4441-aa19-593732028e64.jpg"",""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/7489342_d6aaa4c2-2407-451f-bced-ada7d796526d.jpg""]",未知,P0,审核不通过,2015-11-26 13:40:21,,5
0,531756,首页,山西省|太原市|小店区|南中环街|200号,Coolpad  Coolpad 8675-A,Android 4.4.4,WIFI,中国联通,4.4.058.P0.150407.8675-A,打开app，点击“我的”，点击“关于我们”，点击给我发邮件下面的邮箱地址，应用停止运行。这个bug发生概率100%。,打开app，点击“我的”，点击“关于我们”，点击给我发邮件下面的邮箱地址，应用停止运行。这个bug发生概率100%。,"[""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/7489345_5101364e-e781-4141-81e3-e26e665f6132.jpg"",""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/7489344_4ac080af-50e3-4740-9bb8-0e7ea6cc9406.jpg"",""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/7489343_421c3121-464e-4441-aa19-593732028e64.jpg"",""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/7489342_d6aaa4c2-2407-451f-bced-ada7d796526d.jpg""]",未知,P0,审核不通过,2015-11-26 13:40:21,,2
0,531756,首页,山西省|太原市|小店区|南中环街|200号,Coolpad  Coolpad 8675-A,Android 4.4.4,WIFI,中国联通,4.4.058.P0.150407.8675-A,使用手机号注册登陆后，返回“首页”，点击任意一条游览地点，在详情页向下滑动，在咨询框中输入要咨询的话，点击“完成”，应用停止运行。这个bug发生概率100%。,使用手机号注册登陆后，返回“首页”，点击任意一条游览地点，在详情页向下滑动，在咨询框中输入要咨询的话，点击“完成”，应用停止运行。这个bug发生概率100%。,"[""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/7489345_5101364e-e781-4141-81e3-e26e665f6132.jpg"",""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/7489344_4ac080af-50e3-4740-9bb8-0e7ea6cc9406.jpg"",""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/7489343_421c3121-464e-4441-aa19-593732028e64.jpg"",""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/7489342_d6aaa4c2-2407-451f-bced-ada7d796526d.jpg""]",未知,P0,审核不通过,2015-11-26 13:40:21,,0
0,531756,首页,山西省|太原市|小店区|南中环街|200号,Coolpad  Coolpad 8675-A,Android 4.4.4,WIFI,中国联通,4.4.058.P0.150407.8675-A,打开app，点击“我的”，点击“注册/登陆”，使用qq，微博，微信登陆，显示“授权成功”，但是没有跳转到登陆成功的页面。,打开app，点击“我的”，点击“注册/登陆”，使用qq，微博，微信登陆，显示“授权成功”，但是没有跳转到登陆成功的页面。,"[""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/7489345_5101364e-e781-4141-81e3-e26e665f6132.jpg"",""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/7489344_4ac080af-50e3-4740-9bb8-0e7ea6cc9406.jpg"",""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/7489343_421c3121-464e-4441-aa19-593732028e64.jpg"",""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/7489342_d6aaa4c2-2407-451f-bced-ada7d796526d.jpg""]",未知,P0,审核通过,2015-11-26 13:40:29,,5
0,531756,首页,山西省|太原市|小店区|南中环街|200号,Coolpad  Coolpad 8675-A,Android 4.4.4,WIFI,中国联通,4.4.058.P0.150407.8675-A,打开app，点击“我的”，点击“关于我们”，点击给我发邮件下面的邮箱地址，应用停止运行。这个bug发生概率100%。,打开app，点击“我的”，点击“关于我们”，点击给我发邮件下面的邮箱地址，应用停止运行。这个bug发生概率100%。,"[""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/7489345_5101364e-e781-4141-81e3-e26e665f6132.jpg"",""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/7489344_4ac080af-50e3-4740-9bb8-0e7ea6cc9406.jpg"",""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/7489343_421c3121-464e-4441-aa19-593732028e64.jpg"",""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/7489342_d6aaa4c2-2407-451f-bced-ada7d796526d.jpg""]",未知,P0,审核通过,2015-11-26 13:40:29,,2
0,531756,首页,山西省|太原市|小店区|南中环街|200号,Coolpad  Coolpad 8675-A,Android 4.4.4,WIFI,中国联通,4.4.058.P0.150407.8675-A,使用手机号注册登陆后，返回“首页”，点击任意一条游览地点，在详情页向下滑动，在咨询框中输入要咨询的话，点击“完成”，应用停止运行。这个bug发生概率100%。,使用手机号注册登陆后，返回“首页”，点击任意一条游览地点，在详情页向下滑动，在咨询框中输入要咨询的话，点击“完成”，应用停止运行。这个bug发生概率100%。,"[""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/7489345_5101364e-e781-4141-81e3-e26e665f6132.jpg"",""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/7489344_4ac080af-50e3-4740-9bb8-0e7ea6cc9406.jpg"",""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/7489343_421c3121-464e-4441-aa19-593732028e64.jpg"",""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/7489342_d6aaa4c2-2407-451f-bced-ada7d796526d.jpg""]",未知,P0,审核通过,2015-11-26 13:40:29,,0
0,753702,首页,辽宁省|铁岭市|铁岭县|金沙江路|39号,Xiaomi  MI 2S,Android 5.0.2,WIFI,中国联通,LRX22G,"内容加载缓慢,发现一个疑似阻塞请求","在测试app加载速度时,多次出现点开一个游玩项目时,页面长时间加载的情况,由于手机端难以通过工具验证,所以将缓慢的页面通过微信分享,到电脑端使用浏览器访问分享地址,并开启开发调试工具,通过对网络请求的跟踪和计时,发现对域名api.map.baidu.com的请求阻塞时间最长,截图显示已经达到14秒,严重影响用户体验,虽说分享地址与app加载地址无法完全确认对应关系,但是同时存在加载缓慢的情况,推测是由于相同原因引起.测试者使用百兆光纤接入(手机wifi和电脑使用同一网络),测试时网络环境良好,带宽充裕无限速.手机环境:小米2s联通非定制机, miuiv7开发版, android_v5.0.2, 2g运行内存(测试时至少还有40%内存可用), 3g+wifi(10m或100m光纤接入), 未安装任何第三方安全类app, 未启用root.","[""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/7540126_da8fffd5-a1cb-480d-8e31-b4a5c7cdf01b.jpg""]",未知,P0,审核通过,2015-11-27 15:48:11,,12
0,1456813,首页,山东省|青岛市|城阳区|康城路|268号,Xiaomi  MI 3C,Android 4.4.4,WIFI,中国电信,KTU84P,首页黔西南出现null,在首页的黔西南处，2015贵州荷花节显示价格为null,"[""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/7499512_31b2646b-2184-4cd2-a0a0-1358d20ecf61.jpg""]",未知,P0,审核通过,2015-11-26 17:09:13,,4
