case编号,用户id,case标题,地域,机型,操作系统,网络环境,运营商,ROM信息,bug详情,复现步骤,截图,是否未知,优先级,审核状态,提交时间,,重复情况
0,760595,肌肤测试网V2.0.0自由测试,河北省|邯郸市|磁县||,Xiaomi  HM NOTE 1LTETD,Android 4.4.2,WIFI,中国移动,JH3CN0.0-41952c44d36acc0d837d5,点开软件一直显示正在启动,点击软件后，开始进入界面，但是一直显示正在启动，进不了软件,[],未知,P0,审核不通过,2016-06-13 21:49:30,,11
0,851370,肌肤测试网V2.0.0自由测试,四川省|南充市|南部县|城北街|,Xiaomi  Redmi Note 3,Android 5.0.2,WIFI,中国移动,LRX22G,该app在一路皮肤测试点击下来，到输入个人信息界面，不能支持170开头的网络电话服务器，提示号码错误。,该app在一路皮肤测试点击下来，到输入个人信息界面，不能支持170开头的网络电话服务器，提示号码错误。,"[""http:\/\/bj.bcebos.com\/json-api\/v1\/crowdtest-online\/upload\/28835584_Screenshot_2016-06-13-13-05-42_com.wta.NewCloudApp.jiuwei73268.png""]",未知,P0,审核通过,2016-06-16 10:00:02,,9
0,851370,肌肤测试网V2.0.0自由测试,四川省|南充市|南部县|城北街|,Xiaomi  Redmi Note 3,Android 5.0.2,WIFI,中国移动,LRX22G,该app在一路皮肤测试点击下来，到最后测试结果出来的界面，点击分享到qq空间不成功。,该app在一路皮肤测试点击下来，到最后测试结果出来的界面，点击分享到qq空间不成功。,"[""http:\/\/bj.bcebos.com\/json-api\/v1\/crowdtest-online\/upload\/28835676_Screenshot_2016-06-13-13-06-22_com.android.browser.png"",""http:\/\/bj.bcebos.com\/json-api\/v1\/crowdtest-online\/upload\/28835685_Screenshot_2016-06-13-13-06-35_com.wta.NewCloudApp.jiuwei73268.png""]",未知,P0,审核通过,2016-06-16 10:00:02,,8
0,2590458,肌肤测试网V2.0.0自由测试,广东省|广州市|越秀区|解放南路|73号,Honor  Che2-UL00,Android 4.4.2,WIFI,中国联通,Che2-UL00 V100R001CHNC00B390,测试完成后，点分享到qq空间，不分享点返回，显示测试结果不完全（如，测试结果已看不到）,测试完成后，点分享到qq空间，不分享点返回，显示测试结果不完全（如，测试结果已看不到）,"[""http:\/\/bj.bcebos.com\/json-api\/v1\/crowdtest-online\/upload\/28851275_6.jpg""]",未知,P0,审核通过,2016-06-16 10:00:02,,8
0,7287803,肌肤测试网V2.0.0自由测试,云南省|昆明市|呈贡区|双龙路|82号,Huawei  HUAWEI C8817E,Android 4.4.4,WIFI,中国电信,C8817EV100R001C92B241,在测试结果页面分享取消返回结果页面后，结果无法查看。,"1.安装并打开app
2.在测试页面完成测试问题，填写相关资料后在测试结果页面分享取消返回结果页面后，结果变为空白，无法查看。","[""http:\/\/bj.bcebos.com\/json-api\/v1\/crowdtest-online\/upload\/28842455_%60.jpeg""]",未知,P0,审核通过,2016-06-16 10:00:02,,14
0,7358634,肌肤测试网V2.0.0自由测试,河南省|郑州市|管城回族区|G220(商都大道)|,ACTOMA  ACTOMA ACE,Android 5.0.2,WIFI,中国移动,ACE_3.1.11.R29_20160106,皮肤问题图片保存失败,"1、打开软件，长按问题图片
2、点击储存图像，显示保存失败","[""http:\/\/bj.bcebos.com\/json-api\/v1\/crowdtest-online\/upload\/28827685_QQ%E5%9B%BE%E7%89%8720160613121310.jpg""]",未知,P0,审核通过,2016-06-16 10:00:02,,12
0,9742256,肌肤测试网V2.0.0自由测试,湖南省|长沙市|芙蓉区|五一大道|118-3号,Xiaomi  Redmi Note 3,Android 5.1.1,WIFI,中国联通,LMY47V,提交皮肤测试时，姓名为空  qq和手机号均正确输入情况下，提示的却是qq和手机号不能为空,进入应用 开始测验 - 到提交测试时，姓名留空，输入qq号与手机号提交 - 提示却是 “qq和手机号不能为空” ，填入姓名后，提交成功,"[""http:\/\/bj.bcebos.com\/json-api\/v1\/crowdtest-online\/upload\/28849367_QQ%E6%88%AA%E5%9B%BE20160613141931.png"",""http:\/\/bj.bcebos.com\/json-api\/v1\/crowdtest-online\/upload\/28849375_QQ%E5%9B%BE%E7%89%8720160613141942.png""]",未知,P0,审核通过,2016-06-16 10:00:02,,7
0,9742256,肌肤测试网V2.0.0自由测试,湖南省|长沙市|芙蓉区|五一大道|118-3号,Xiaomi  Redmi Note 3,Android 5.1.1,WIFI,中国联通,LMY47V,分享测试结果为qq空间时，无法获取设备中已登录的qq账户信息,接上一条，提交测试后。跳转到结果页面，点击下方的分享按钮分享为qq空间，无法自动获取qq账户信息,"[""http:\/\/bj.bcebos.com\/json-api\/v1\/crowdtest-online\/upload\/28849505_QQ%E6%88%AA%E5%9B%BE20160613142234.png"",""http:\/\/bj.bcebos.com\/json-api\/v1\/crowdtest-online\/upload\/28849523_QQ%E5%9B%BE%E7%89%8720160613142310.png"",""http:\/\/bj.bcebos.com\/json-api\/v1\/crowdtest-online\/upload\/28849715_Screenshot_2016-06-13-14-25-05_com.tencent.mobile.png""]",未知,P0,审核不通过,2016-06-13 22:09:21,,14
0,9742256,肌肤测试网V2.0.0自由测试,湖南省|长沙市|芙蓉区|五一大道|118-3号,Xiaomi  Redmi Note 3,Android 5.1.1,WIFI,中国联通,LMY47V,提交测试到结果页后，按返回键再次提交测试，提示测试未完成,接上条，提交测试到结果页后，按返回键又可以返回到之前的提交页，  再次点击提交测试，提示测试未完成,"[""http:\/\/bj.bcebos.com\/json-api\/v1\/crowdtest-online\/upload\/28850354_QQ%E5%9B%BE%E7%89%8720160613142626.png""]",未知,P0,审核通过,2016-06-16 10:00:02,,15
0,14109244,肌肤测试网V2.0.0自由测试,湖北省|武汉市|江汉区|北湖正街|2号,Coolpad  Coolpad 8675-A,Android 4.4.4,WIFI,unknown,4.4.077.P0.160225.8675-A,分享界面分享至qq好友无返回提示,打开软件，点击右上角三条横杠，分享至qq好友，分享成功后，无返回app提示,"[""http:\/\/bj.bcebos.com\/json-api\/v1\/crowdtest-online\/upload\/28832023_1.png"",""http:\/\/bj.bcebos.com\/json-api\/v1\/crowdtest-online\/upload\/28832027_1.jpg""]",未知,P0,审核不通过,2016-06-13 21:49:57,,13
